E (keV),a (cm^2/g),rho (g/cm^3),a*rho (1/cm),d (cm),P(xi) (d=50 um),P(xi) (d=100 um),P(xi) (d=150 um),P(xi) (d=200 um),P(xi) (d=250 um),P(xi) (d=300 um),,
2.00E+00,1.04E+03,1.89E+01,1.96E+04,5.00E-03,2.72E-43,7.40E-86,2.01E-128,5.47E-171,3.87E-214,4.05E-256,,
2.01E+00,1.03E+03,,1.94E+04,1.00E-02,7.67E-43,5.88E-85,4.51E-127,3.46E-169,4.36E-212,2.04E-253,,
2.02E+00,1.02E+03,,1.92E+04,1.50E-02,2.12E-42,4.51E-84,9.56E-126,2.03E-167,4.92E-210,9.15E-251,,
2.03E+00,1.01E+03,,1.90E+04,2.00E-02,5.87E-42,3.45E-83,2.03E-124,1.19E-165,5.54E-208,4.11E-248,,
2.04E+00,9.97E+02,,1.88E+04,2.50E-02,1.59E-41,2.53E-82,4.01E-123,6.38E-164,2.58E-205,1.61E-245,,
2.05E+00,9.86E+02,,1.86E+04,3.00E-02,4.27E-41,1.82E-81,7.77E-122,3.32E-162,4.66E-203,6.04E-243,,
2.06E+00,9.76E+02,,1.84E+04,,1.13E-40,1.28E-80,1.45E-120,1.64E-160,5.26E-201,2.10E-240,,
2.07E+00,9.66E+02,,1.82E+04,,2.97E-40,8.83E-80,2.62E-119,7.79E-159,5.93E-199,6.88E-238,,
2.08E+00,9.56E+02,,1.80E+04,,7.71E-40,5.94E-79,4.57E-118,3.52E-157,6.68E-197,2.09E-235,,
2.09E+00,9.46E+02,,1.78E+04,,1.98E-39,3.90E-78,7.71E-117,1.52E-155,7.53E-195,5.94E-233,,
2.10E+00,9.36E+02,,1.76E+04,,5.01E-39,2.51E-77,1.26E-115,6.29E-154,8.49E-193,1.58E-230,,
2.11E+00,9.26E+02,,1.75E+04,,1.26E-38,1.58E-76,1.98E-114,2.49E-152,9.57E-191,3.94E-228,,
2.12E+00,9.16E+02,,1.73E+04,,3.12E-38,9.74E-76,3.04E-113,9.48E-151,1.08E-188,9.23E-226,,
2.13E+00,9.07E+02,,1.71E+04,,7.66E-38,5.87E-75,4.50E-112,3.44E-149,7.58E-187,2.02E-223,,
2.15E+00,8.97E+02,,1.69E+04,,1.86E-37,3.47E-74,6.45E-111,1.20E-147,8.55E-185,4.16E-221,,
2.16E+00,8.88E+02,,1.67E+04,,4.47E-37,2.00E-73,8.94E-110,4.00E-146,6.01E-183,8.00E-219,,
2.17E+00,8.79E+02,,1.66E+04,,1.06E-36,1.13E-72,1.21E-108,1.28E-144,4.22E-181,1.45E-216,,
2.18E+00,8.70E+02,,1.64E+04,,2.51E-36,6.30E-72,1.58E-107,3.97E-143,2.97E-179,2.50E-214,,
2.19E+00,8.61E+02,,1.62E+04,,5.92E-36,3.50E-71,2.07E-106,1.23E-141,2.09E-177,4.29E-212,,
2.20E+00,8.52E+02,,1.61E+04,,1.39E-35,1.93E-70,2.68E-105,3.73E-140,1.47E-175,7.20E-210,,
2.21E+00,8.47E+02,,1.60E+04,,2.17E-35,4.71E-70,1.02E-104,2.22E-139,1.56E-174,1.05E-208,,
2.21E+00,2.51E+03,,4.74E+04,,1.23E-103,1.50E-206,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.21E+00,2.50E+03,,4.72E+04,,3.49E-103,1.22E-205,4.24E-308,0.00E+00,0.00E+00,0.00E+00,,
2.22E+00,2.47E+03,,4.66E+04,,6.06E-102,3.68E-203,2.23E-304,0.00E+00,0.00E+00,0.00E+00,,
2.23E+00,2.44E+03,,4.61E+04,,1.01E-100,1.01E-200,1.02E-300,0.00E+00,0.00E+00,0.00E+00,,
2.24E+00,2.41E+03,,4.55E+04,,1.62E-99,2.63E-198,4.27E-297,0.00E+00,0.00E+00,0.00E+00,,
2.25E+00,2.38E+03,,4.49E+04,,2.54E-98,6.46E-196,1.64E-293,0.00E+00,0.00E+00,0.00E+00,,
2.27E+00,2.36E+03,,4.44E+04,,3.80E-97,1.45E-193,5.49E-290,0.00E+00,0.00E+00,0.00E+00,,
2.28E+00,2.33E+03,,4.39E+04,,5.53E-96,3.05E-191,1.69E-286,0.00E+00,0.00E+00,0.00E+00,,
2.29E+00,2.30E+03,,4.33E+04,,7.74E-95,5.99E-189,4.63E-283,0.00E+00,0.00E+00,0.00E+00,,
2.29E+00,2.30E+03,,4.33E+04,,1.12E-94,1.25E-188,1.40E-282,0.00E+00,0.00E+00,0.00E+00,,
2.29E+00,3.36E+03,,6.33E+04,,4.04E-138,1.64E-275,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.30E+00,3.33E+03,,6.27E+04,,7.30E-137,5.33E-273,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.31E+00,3.29E+03,,6.19E+04,,3.38E-135,1.14E-269,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.32E+00,3.25E+03,,6.12E+04,,1.50E-133,2.24E-266,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.33E+00,3.21E+03,,6.04E+04,,6.31E-132,3.98E-263,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.35E+00,3.17E+03,,5.97E+04,,2.54E-130,6.44E-260,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.36E+00,3.13E+03,,5.90E+04,,9.74E-129,9.48E-257,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.37E+00,3.09E+03,,5.82E+04,,3.57E-127,1.27E-253,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.38E+00,3.05E+03,,5.75E+04,,1.25E-125,1.55E-250,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.39E+00,3.01E+03,,5.68E+04,,4.19E-124,1.75E-247,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.41E+00,2.98E+03,,5.61E+04,,1.34E-122,1.81E-244,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.42E+00,2.94E+03,,5.54E+04,,4.11E-121,1.69E-241,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.43E+00,2.91E+03,,5.48E+04,,1.21E-119,1.47E-238,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.44E+00,2.87E+03,,5.41E+04,,3.41E-118,1.16E-235,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.45E+00,2.83E+03,,5.34E+04,,9.23E-117,8.52E-233,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.47E+00,2.80E+03,,5.28E+04,,2.41E-115,5.79E-230,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.48E+00,2.77E+03,,5.21E+04,,5.99E-114,3.59E-227,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.49E+00,2.73E+03,,5.15E+04,,1.43E-112,2.06E-224,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.50E+00,2.70E+03,,5.09E+04,,3.28E-111,1.07E-221,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.52E+00,2.67E+03,,5.03E+04,,7.28E-110,5.30E-219,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.53E+00,2.63E+03,,4.96E+04,,1.54E-108,2.38E-216,4.9000E-324,0.00E+00,0.00E+00,0.00E+00,,
2.54E+00,2.60E+03,,4.90E+04,,3.18E-107,1.01E-213,3.2164E-320,0.00E+00,0.00E+00,0.00E+00,,
2.55E+00,2.57E+03,,4.84E+04,,6.25E-106,3.91E-211,2.4421E-316,0.00E+00,0.00E+00,0.00E+00,,
2.57E+00,2.54E+03,,4.79E+04,,1.18E-104,1.40E-208,1.6558E-312,0.00E+00,0.00E+00,0.00E+00,,
2.58E+00,2.51E+03,,4.73E+04,,2.18E-103,4.74E-206,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,
2.59E+00,2.48E+03,,4.67E+04,,3.86E-102,1.49E-203,5.74E-305,0.00E+00,0.00E+00,0.00E+00,,
2.61E+00,2.45E+03,,4.61E+04,,6.64E-101,4.41E-201,2.93E-301,0.00E+00,0.00E+00,0.00E+00,,
2.62E+00,2.42E+03,,4.56E+04,,1.10E-99,1.21E-198,1.34E-297,0.00E+00,0.00E+00,0.00E+00,,
2.63E+00,2.39E+03,,4.50E+04,,1.76E-98,3.10E-196,5.45E-294,0.00E+00,0.00E+00,0.00E+00,,
2.65E+00,2.36E+03,,4.45E+04,,2.71E-97,7.33E-194,1.99E-290,0.00E+00,0.00E+00,0.00E+00,,
2.66E+00,2.33E+03,,4.39E+04,,4.05E-96,1.64E-191,6.64E-287,0.00E+00,0.00E+00,0.00E+00,,
2.67E+00,2.30E+03,,4.34E+04,,5.83E-95,3.40E-189,1.98E-283,0.00E+00,0.00E+00,0.00E+00,,
2.68E+00,2.27E+03,,4.29E+04,,8.16E-94,6.66E-187,5.44E-280,0.00E+00,0.00E+00,0.00E+00,,
2.70E+00,2.25E+03,,4.23E+04,,1.10E-92,1.21E-184,1.33E-276,0.00E+00,0.00E+00,0.00E+00,,
2.71E+00,2.22E+03,,4.18E+04,,1.44E-91,2.08E-182,3.00E-273,0.00E+00,0.00E+00,0.00E+00,,
2.73E+00,2.19E+03,,4.13E+04,,1.82E-90,3.31E-180,6.03E-270,0.00E+00,0.00E+00,0.00E+00,,
2.74E+00,2.17E+03,,4.08E+04,,2.23E-89,4.99E-178,1.11E-266,0.00E+00,0.00E+00,0.00E+00,,
2.74E+00,2.16E+03,,4.08E+04,,2.88E-89,8.30E-178,2.39E-266,0.00E+00,0.00E+00,0.00E+00,,
2.75E+00,2.50E+03,,4.71E+04,,4.17E-103,1.74E-205,7.26E-308,0.00E+00,0.00E+00,0.00E+00,,
2.75E+00,2.49E+03,,4.69E+04,,1.73E-102,3.00E-204,5.19E-306,0.00E+00,0.00E+00,0.00E+00,,
2.77E+00,2.46E+03,,4.63E+04,,2.54E-101,6.45E-202,1.64E-302,0.00E+00,0.00E+00,0.00E+00,,
2.78E+00,2.43E+03,,4.58E+04,,3.62E-100,1.31E-199,4.76E-299,0.00E+00,0.00E+00,0.00E+00,,
2.79E+00,2.40E+03,,4.53E+04,,4.98E-99,2.48E-197,1.23E-295,0.00E+00,0.00E+00,0.00E+00,,
2.81E+00,2.37E+03,,4.48E+04,,6.65E-98,4.42E-195,2.94E-292,0.00E+00,0.00E+00,0.00E+00,,
2.82E+00,2.35E+03,,4.42E+04,,8.63E-97,7.45E-193,6.43E-289,0.00E+00,0.00E+00,0.00E+00,,
2.84E+00,2.32E+03,,4.37E+04,,1.09E-95,1.19E-190,1.29E-285,0.00E+00,0.00E+00,0.00E+00,,
2.85E+00,2.29E+03,,4.32E+04,,1.32E-94,1.75E-188,2.32E-282,0.00E+00,0.00E+00,0.00E+00,,
2.86E+00,2.27E+03,,4.27E+04,,1.56E-93,2.45E-186,3.83E-279,0.00E+00,0.00E+00,0.00E+00,,
2.88E+00,2.24E+03,,4.22E+04,,1.88E-92,3.55E-184,6.68E-276,0.00E+00,0.00E+00,0.00E+00,,
2.89E+00,2.21E+03,,4.17E+04,,2.23E-91,4.95E-182,1.10E-272,0.00E+00,0.00E+00,0.00E+00,,
2.91E+00,2.19E+03,,4.13E+04,,2.53E-90,6.41E-180,1.62E-269,0.00E+00,0.00E+00,0.00E+00,,
2.92E+00,2.16E+03,,4.08E+04,,2.80E-89,7.84E-178,2.20E-266,0.00E+00,0.00E+00,0.00E+00,,
2.94E+00,2.14E+03,,4.03E+04,,3.04E-88,9.24E-176,2.81E-263,0.00E+00,0.00E+00,0.00E+00,,
2.95E+00,2.11E+03,,3.98E+04,,3.18E-87,1.01E-173,3.21E-260,0.00E+00,0.00E+00,0.00E+00,,
2.97E+00,2.09E+03,,3.94E+04,,3.26E-86,1.06E-171,3.46E-257,0.00E+00,0.00E+00,0.00E+00,,
2.98E+00,2.06E+03,,3.89E+04,,3.25E-85,1.06E-169,3.43E-254,0.00E+00,0.00E+00,0.00E+00,,
3.00E+00,2.04E+03,,3.85E+04,,3.21E-84,1.03E-167,3.30E-251,0.00E+00,0.00E+00,0.00E+00,,
3.01E+00,2.01E+03,,3.80E+04,,3.55E-83,1.26E-165,4.47E-248,0.00E+00,0.00E+00,0.00E+00,,
3.03E+00,1.99E+03,,3.75E+04,,3.93E-82,1.54E-163,6.05E-245,0.00E+00,0.00E+00,0.00E+00,,
3.04E+00,1.96E+03,,3.70E+04,,4.22E-81,1.78E-161,7.52E-242,3.1600E-322,0.00E+00,0.00E+00,,
3.06E+00,1.94E+03,,3.65E+04,,4.45E-80,1.98E-159,8.83E-239,3.9348E-318,0.00E+00,0.00E+00,,
3.07E+00,1.91E+03,,3.61E+04,,4.53E-79,2.05E-157,9.27E-236,4.1943E-314,0.00E+00,0.00E+00,,
3.09E+00,1.89E+03,,3.56E+04,,4.47E-78,2.00E-155,8.93E-233,3.9927E-310,0.00E+00,0.00E+00,,
3.10E+00,1.87E+03,,3.52E+04,,4.29E-77,1.84E-153,7.91E-230,3.39E-306,0.00E+00,0.00E+00,,
3.12E+00,1.84E+03,,3.47E+04,,4.01E-76,1.61E-151,6.43E-227,2.58E-302,0.00E+00,0.00E+00,,
3.13E+00,1.82E+03,,3.43E+04,,3.64E-75,1.32E-149,4.81E-224,1.75E-298,0.00E+00,0.00E+00,,
3.14E+00,1.80E+03,,3.40E+04,,1.32E-74,1.75E-148,2.31E-222,3.06E-296,0.00E+00,0.00E+00,,
3.15E+00,1.91E+03,,3.61E+04,,4.70E-79,2.21E-157,1.04E-235,4.8769E-314,0.00E+00,0.00E+00,,
3.15E+00,1.91E+03,,3.60E+04,,7.18E-79,5.16E-157,3.70E-235,2.6603E-313,0.00E+00,0.00E+00,,
3.17E+00,1.89E+03,,3.56E+04,,4.60E-78,2.11E-155,9.72E-233,4.4709E-310,0.00E+00,0.00E+00,,
3.18E+00,1.87E+03,,3.52E+04,,4.37E-77,1.91E-153,8.37E-230,3.66E-306,0.00E+00,0.00E+00,,
3.20E+00,1.84E+03,,3.47E+04,,4.04E-76,1.64E-151,6.62E-227,2.68E-302,0.00E+00,0.00E+00,,
3.21E+00,1.82E+03,,3.43E+04,,3.64E-75,1.32E-149,4.81E-224,1.75E-298,0.00E+00,0.00E+00,,
3.23E+00,1.80E+03,,3.38E+04,,3.21E-74,1.03E-147,3.30E-221,1.06E-294,0.00E+00,0.00E+00,,
3.25E+00,1.77E+03,,3.34E+04,,2.72E-73,7.42E-146,2.02E-218,5.51E-291,0.00E+00,0.00E+00,,
3.26E+00,1.75E+03,,3.30E+04,,2.25E-72,5.06E-144,1.14E-215,2.56E-287,0.00E+00,0.00E+00,,
3.28E+00,1.73E+03,,3.26E+04,,1.81E-71,3.26E-142,5.89E-213,1.06E-283,0.00E+00,0.00E+00,,
3.29E+00,1.71E+03,,3.22E+04,,1.42E-70,2.02E-140,2.88E-210,4.10E-280,0.00E+00,0.00E+00,,
3.31E+00,1.69E+03,,3.18E+04,,1.07E-69,1.14E-138,1.22E-207,1.31E-276,0.00E+00,0.00E+00,,
3.33E+00,1.66E+03,,3.14E+04,,7.74E-69,5.99E-137,4.64E-205,3.59E-273,0.00E+00,0.00E+00,,
3.34E+00,1.64E+03,,3.10E+04,,5.39E-68,2.91E-135,1.57E-202,8.47E-270,0.00E+00,0.00E+00,,
3.36E+00,1.62E+03,,3.06E+04,,3.69E-67,1.36E-133,5.02E-200,1.85E-266,0.00E+00,0.00E+00,,
3.38E+00,1.60E+03,,3.02E+04,,2.45E-66,6.02E-132,1.48E-197,3.62E-263,0.00E+00,0.00E+00,,
3.39E+00,1.58E+03,,2.98E+04,,1.60E-65,2.56E-130,4.10E-195,6.56E-260,0.00E+00,0.00E+00,,
3.41E+00,1.56E+03,,2.95E+04,,1.01E-64,1.01E-128,1.02E-192,1.02E-256,0.00E+00,0.00E+00,,
3.42E+00,1.56E+03,,2.93E+04,,2.04E-64,4.16E-128,8.48E-192,1.73E-255,0.00E+00,0.00E+00,,
3.43E+00,1.61E+03,,3.04E+04,,1.06E-66,1.12E-132,1.19E-198,1.26E-264,0.00E+00,0.00E+00,,
3.43E+00,1.61E+03,,3.03E+04,,1.59E-66,2.53E-132,4.02E-198,6.39E-264,0.00E+00,0.00E+00,,
3.45E+00,1.59E+03,,3.00E+04,,6.60E-66,4.35E-131,2.87E-196,1.90E-261,0.00E+00,0.00E+00,,
3.46E+00,1.57E+03,,2.97E+04,,4.03E-65,1.62E-129,6.55E-194,2.64E-258,0.00E+00,0.00E+00,,
3.48E+00,1.55E+03,,2.93E+04,,2.42E-64,5.84E-128,1.41E-191,3.41E-255,0.00E+00,0.00E+00,,
3.50E+00,1.54E+03,,2.89E+04,,1.41E-63,1.98E-126,2.79E-189,3.93E-252,0.00E+00,0.00E+00,,
3.51E+00,1.52E+03,,2.86E+04,,7.97E-63,6.36E-125,5.07E-187,4.04E-249,0.00E+00,0.00E+00,,
3.53E+00,1.50E+03,,2.83E+04,,4.43E-62,1.96E-123,8.71E-185,3.86E-246,0.00E-01,0.00E+00,,
3.55E+00,1.48E+03,,2.79E+04,,2.42E-61,5.85E-122,1.41E-182,3.42E-243,1.99E-304,0.00E+00,,
3.57E+00,1.46E+03,,2.76E+04,,1.28E-60,1.64E-120,2.11E-180,2.70E-240,2.52E-300,0.00E+00,,
3.59E+00,1.45E+03,,2.72E+04,,6.80E-60,4.62E-119,3.14E-178,2.14E-237,2.84E-298,0.00E+00,,
3.60E+00,1.43E+03,,2.69E+04,,3.54E-59,1.25E-117,4.43E-176,1.57E-234,3.61E-294,0.00E+00,,
3.62E+00,1.41E+03,,2.66E+04,,1.81E-58,3.26E-116,5.90E-174,1.07E-231,4.59E-290,0.00E+00,,
3.64E+00,1.39E+03,,2.63E+04,,8.97E-58,8.04E-115,7.21E-172,6.47E-229,5.84E-286,0.00E+00,,
3.66E+00,1.38E+03,,2.60E+04,,4.37E-57,1.91E-113,8.34E-170,3.64E-226,6.58E-284,0.00E+00,,
3.68E+00,1.36E+03,,2.56E+04,,2.09E-56,4.36E-112,9.11E-168,1.90E-223,8.36E-280,0.00E+00,,
3.69E+00,1.34E+03,,2.53E+04,,9.71E-56,9.42E-111,9.14E-166,8.88E-221,1.06E-275,0.00E+00,,
3.71E+00,1.33E+03,,2.50E+04,,4.47E-55,2.00E-109,8.92E-164,3.99E-218,1.20E-273,0.00E+00,,
3.73E+00,1.31E+03,,2.47E+04,,2.00E-54,4.00E-108,8.00E-162,1.60E-215,1.52E-269,6.4000E-323,,
3.75E+00,1.30E+03,,2.44E+04,,8.87E-54,7.86E-107,6.97E-160,6.18E-213,1.72E-267,4.8554E-319,,
3.77E+00,1.28E+03,,2.41E+04,,3.82E-53,1.46E-105,5.58E-158,2.13E-210,2.18E-263,3.1112E-315,,
3.79E+00,1.27E+03,,2.39E+04,,1.62E-52,2.61E-104,4.22E-156,6.82E-208,2.46E-261,1.7804E-311,,
3.81E+00,1.25E+03,,2.36E+04,,6.77E-52,4.58E-103,3.10E-154,2.10E-205,3.12E-257,9.63E-308,,
3.83E+00,1.24E+03,,2.33E+04,,2.76E-51,7.60E-102,2.10E-152,5.78E-203,3.52E-255,4.39E-304,,
3.84E+00,1.22E+03,,2.30E+04,,1.11E-50,1.24E-100,1.38E-150,1.53E-200,4.48E-251,1.90E-300,,
3.86E+00,1.21E+03,,2.27E+04,,4.36E-50,1.90E-99,8.31E-149,3.62E-198,5.05E-249,6.90E-297,,
3.88E+00,1.19E+03,,2.25E+04,,1.70E-49,2.87E-98,4.87E-147,8.26E-196,6.41E-245,2.37E-293,,
3.90E+00,1.18E+03,,2.22E+04,,6.46E-49,4.18E-97,2.70E-145,1.75E-193,7.23E-243,7.29E-290,,
3.92E+00,1.16E+03,,2.19E+04,,2.42E-48,5.85E-96,1.41E-143,3.42E-191,9.19E-239,2.00E-286,,
3.94E+00,1.15E+03,,2.17E+04,,8.96E-48,8.03E-95,7.20E-142,6.45E-189,1.04E-236,5.19E-283,,
3.96E+00,1.14E+03,,2.14E+04,,3.23E-47,1.04E-93,3.37E-140,1.09E-186,1.17E-234,1.13E-279,,
3.98E+00,1.12E+03,,2.12E+04,,1.15E-46,1.33E-92,1.53E-138,1.77E-184,1.48E-230,2.35E-276,,
4.00E+00,1.11E+03,,2.09E+04,,4.04E-46,1.63E-91,6.58E-137,2.66E-182,1.67E-228,4.33E-273,,
4.02E+00,1.10E+03,,2.07E+04,,1.40E-45,1.96E-90,2.75E-135,3.85E-180,1.89E-226,7.56E-270,,
4.04E+00,1.08E+03,,2.04E+04,,4.73E-45,2.23E-89,1.06E-133,4.99E-178,2.40E-222,1.11E-266,,
4.06E+00,1.07E+03,,2.02E+04,,1.59E-44,2.54E-88,4.05E-132,6.46E-176,2.70E-220,1.64E-263,,
4.08E+00,1.06E+03,,1.99E+04,,5.23E-44,2.73E-87,1.43E-130,7.46E-174,3.05E-218,2.04E-260,,
4.10E+00,1.04E+03,,1.97E+04,,1.71E-43,2.94E-86,5.03E-129,8.63E-172,3.87E-214,2.53E-257,,
4.12E+00,1.03E+03,,1.95E+04,,5.57E-43,3.10E-85,1.73E-127,9.61E-170,4.36E-212,2.98E-254,,
4.14E+00,1.02E+03,,1.92E+04,,1.77E-42,3.15E-84,5.59E-126,9.92E-168,4.92E-210,3.12E-251,,
4.16E+00,1.01E+03,,1.90E+04,,5.60E-42,3.14E-83,1.76E-124,9.86E-166,5.54E-208,3.10E-248,,
4.19E+00,9.96E+02,,1.88E+04,,1.74E-41,3.03E-82,5.27E-123,9.16E-164,4.14E-205,2.77E-245,,
4.21E+00,9.84E+02,,1.85E+04,,5.33E-41,2.84E-81,1.51E-121,8.07E-162,1.20E-202,2.29E-242,,
4.23E+00,9.72E+02,,1.83E+04,,1.61E-40,2.59E-80,4.18E-120,6.72E-160,3.48E-200,1.74E-239,,
4.25E+00,9.61E+02,,1.81E+04,,4.80E-40,2.30E-79,1.10E-118,5.29E-158,6.29E-198,1.22E-236,,
4.27E+00,9.49E+02,,1.79E+04,,1.41E-39,1.99E-78,2.80E-117,3.95E-156,1.83E-195,7.85E-234,,
4.29E+00,9.38E+02,,1.77E+04,,4.09E-39,1.67E-77,6.84E-116,2.80E-154,3.30E-193,4.68E-231,,
4.31E+00,9.27E+02,,1.75E+04,,1.17E-38,1.37E-76,1.61E-114,1.88E-152,5.97E-191,2.58E-228,,
4.33E+00,9.16E+02,,1.73E+04,,3.31E-38,1.09E-75,3.62E-113,1.20E-150,1.08E-188,1.31E-225,,
4.36E+00,9.05E+02,,1.71E+04,,9.23E-38,8.52E-75,7.87E-112,7.27E-149,1.95E-186,6.19E-223,,
4.38E+00,8.94E+02,,1.69E+04,,2.54E-37,6.47E-74,1.64E-110,4.18E-147,3.53E-184,2.70E-220,,
4.40E+00,8.83E+02,,1.67E+04,,6.92E-37,4.79E-73,3.31E-109,2.29E-145,6.38E-182,1.10E-217,,
4.42E+00,8.73E+02,,1.65E+04,,1.89E-36,3.57E-72,6.75E-108,1.28E-143,7.19E-180,4.55E-215,,
4.44E+00,8.62E+02,,1.62E+04,,5.19E-36,2.70E-71,1.40E-106,7.28E-142,1.30E-177,1.97E-212,,
4.47E+00,8.51E+02,,1.60E+04,,1.41E-35,2.00E-70,2.82E-105,3.99E-140,2.35E-175,7.97E-210,,
4.49E+00,8.41E+02,,1.59E+04,,3.80E-35,1.44E-69,5.48E-104,2.08E-138,2.65E-173,3.01E-207,,
4.51E+00,8.31E+02,,1.57E+04,,1.01E-34,1.02E-68,1.02E-102,1.03E-136,2.99E-171,1.05E-204,,
4.53E+00,8.20E+02,,1.55E+04,,2.64E-34,6.97E-68,1.84E-101,4.86E-135,5.40E-169,3.39E-202,,
4.56E+00,8.10E+02,,1.53E+04,,6.83E-34,4.67E-67,3.19E-100,2.18E-133,6.09E-167,1.02E-199,,
4.58E+00,8.00E+02,,1.51E+04,,1.75E-33,3.05E-66,5.33E-99,9.32E-132,6.87E-165,2.84E-197,,
4.60E+00,7.90E+02,,1.49E+04,,4.49E-33,2.02E-65,9.07E-98,4.07E-130,7.74E-163,8.22E-195,,
4.62E+00,7.80E+02,,1.47E+04,,1.15E-32,1.31E-64,1.50E-96,1.72E-128,8.73E-161,2.26E-192,,
4.65E+00,7.71E+02,,1.45E+04,,2.88E-32,8.32E-64,2.40E-95,6.92E-127,6.13E-159,5.76E-190,,
4.67E+00,7.61E+02,,1.43E+04,,7.18E-32,5.15E-63,3.70E-94,2.65E-125,6.91E-157,1.37E-187,,
4.69E+00,7.51E+02,,1.42E+04,,1.76E-31,3.10E-62,5.47E-93,9.63E-124,7.79E-155,2.99E-185,,
4.72E+00,7.42E+02,,1.40E+04,,4.28E-31,1.83E-61,7.82E-92,3.35E-122,5.48E-153,6.12E-183,,
4.74E+00,7.33E+02,,1.38E+04,,1.03E-30,1.05E-60,1.08E-90,1.11E-120,3.85E-151,1.17E-180,,
4.76E+00,7.23E+02,,1.36E+04,,2.43E-30,5.92E-60,1.44E-89,3.51E-119,4.34E-149,2.08E-178,,
